,title,databaseId,Unnamed: 0,imdbID,genres,directors,actors,movielensID,year,country
0,Headhunter,75796,14073,1322315,Thriller,Rumle Hammerich,Lars Mikkelsen,144420,2009.0,Denmark
2,Angels in the Outfield,75815,3112,43286,Comedy|Family|Fantasy,Clarence Brown,"Paul Douglas, Janet Leigh, Keenan Wynn",110597,1951.0,USA
3,Eddie and the Cruisers,75822,32034,85475,Drama|Music,Martin Davidson,"Tom Berenger, Michael Paré, Joe Pantoliano",4589,1983.0,USA
4,Ninja Assassin,75828,38393,1186367,Action|Crime|Thriller,James McTeigue,"Rick Yune, Naomie Harris, Rain",72489,2009.0,USA
5,Orgazmo,75867,26786,124819,Comedy,Trey Parker,"Trey Parker, Dian Bachar, Robyn Lynne Raab",2325,1997.0,USA
6,Toy Story 2,75881,28980,120363,Animation|Comedy|Family,John Lasseter,"Tom Hanks, Tim Allen, Joan Cusack",3114,1999.0,USA
9,A Star Is Born,75903,29296,29606,Drama,William A. Wellman,"Janet Gaynor, Fredric March, Adolphe Menjou",3217,1937.0,USA
10,Pretty in Pink,75918,26588,91790,Comedy,Howard Deutch,"Molly Ringwald, Jon Cryer, Harry Dean Stanton",2145,1986.0,USA
11,An American Werewolf in Paris,75968,28539,118604,Horror|Comedy,Anthony Waller,"Tom Everett Scott, Julie Delpy, Vince Vieluf",2793,1997.0,UK
13,Fool's Gold,202188,34748,770752,Romance|Comedy|Adventure,Andy Tennant,"Matthew McConaughey, Kate Hudson, Donald Sutherland",57951,2008.0,USA
15,The Exorcist,76481,26422,70047,Drama|Horror|Thriller,William Friedkin,"Ellen Burstyn, Max von Sydow, Linda Blair",1997,1973.0,USA
16,National Security,76036,35316,271668,Action|Comedy|Crime|Thriller,Dennis Dugan,"Martin Lawrence, Steve Zahn, Colm Feore",6014,2003.0,USA
17,The Vow,76042,43959,1606389,Drama|Romance,Michael Sucsy,"Rachel McAdams, Channing Tatum, Sam Neill",92509,2012.0,USA
18,Winter's Bone,76067,39789,1399683,Drama,Debra Granik,"Jennifer Lawrence, John Hawkes, Garret Dillahunt",78574,2010.0,USA
19,Pocahontas II: Journey to a New World,76111,44558,143808,Adventure|Animation|Romance|Family,Tom Ellery,"Irene Bedard, Donal Gibson, Jim Cummings",95193,1998.0,USA
20,Just One of the Guys,76113,38713,89393,Comedy|Romance,Lisa Gottlieb,"Joyce Hyser, Clayton Rohner, Billy Jayne",7340,1985.0,USA
21,Prince,76130,15202,4161932,Comedy|Drama,Sam de Jong,Ayoub Elasri,147621,2015.0,Netherlands
22,Love Liza,76137,35281,282698,Comedy|Drama,Todd Louiso,"Philip Seymour Hoffman, Annie Morgan, Kathy Bates",6002,2002.0,France
23,Anomalisa,76143,12312,2401878,Animation|Comedy|Drama|Romance,Duke Johnson,David Thewlis,139855,2015.0,USA
39,The Great Gatsby,195575,38175,71577,Drama|Romance,Jack Clayton,"Robert Redford, Mia Farrow, Bruce Dern",7178,1974.0,USA
40,Million Dollar Baby,76160,28852,405159,Drama,Clint Eastwood,"Hilary Swank, Clint Eastwood, Morgan Freeman",30707,2004.0,USA
41,Insidious: Chapter 3,76170,6640,3195644,Drama|Horror|Thriller,Leigh Whannell,Dermot Mulroney,122884,2015.0,Canada
