,index,movieId,title,genres,databaseId,nbMentions
0,0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,80067,4
1,1,2,Jumanji (1995),Adventure|Children|Fantasy,106233,170
2,2,3,Grumpier Old Men (1995),Comedy|Romance,165453,7
3,3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114048,3
4,4,5,Father of the Bride Part II (1995),Comedy,90583,4
5,5,6,Heat (1995),Action|Crime|Thriller,176314,8
6,6,7,Sabrina (1995),Comedy|Romance,139199,2
7,7,8,Tom and Huck (1995),Adventure|Children,200075,1
8,8,10,GoldenEye (1995),Action|Adventure|Thriller,202936,7
9,9,11,"American President, The (1995)",Comedy|Drama|Romance,198226,3
10,10,12,Dracula: Dead and Loving It (1995),Comedy|Horror,168434,1
11,11,13,Balto (1995),Adventure|Animation|Children,180423,3
12,12,15,Cutthroat Island (1995),Action|Adventure|Romance,134328,2
13,13,16,Casino (1995),Crime|Drama,150957,60
14,14,17,Sense and Sensibility (1995),Drama|Romance,140537,24
15,15,18,Four Rooms (1995),Comedy,105952,1
16,16,19,Ace Ventura: When Nature Calls (1995),Comedy,187566,6
17,17,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,100498,3
18,18,21,Get Shorty (1995),Comedy|Crime|Thriller,163190,5
19,19,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,193523,5
20,20,23,Assassins (1995),Action|Crime|Thriller,172599,1
21,21,24,Powder (1995),Drama|Sci-Fi,151866,3
22,22,25,Leaving Las Vegas (1995),Drama|Romance,129679,4
23,23,27,Now and Then (1995),Children|Drama,126211,5
24,24,31,Dangerous Minds (1995),Drama,120592,1
25,25,34,Babe (1995),Children|Drama,185733,13
26,26,36,Dead Man Walking (1995),Crime|Drama,179770,3
27,27,39,Clueless (1995),Comedy|Romance,143623,68
28,28,42,Dead Presidents (1995),Action|Crime|Drama,157259,2
29,29,44,Mortal Kombat (1995),Action|Adventure|Fantasy,173510,5
30,30,45,To Die For (1995),Comedy|Drama|Thriller,187373,1
31,31,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,87115,18
32,32,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,141578,70
33,33,54,"Big Green, The (1995)",Children|Comedy,139584,5
34,34,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,149885,7
35,35,62,Mr. Holland's Opus (1995),Drama,83757,3
36,36,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,137186,1
37,37,65,Bio-Dome (1996),Comedy,118637,7
38,38,69,Friday (1995),Comedy,149514,2
39,40,72,Kicking and Screaming (1995),Comedy|Drama,111831,1
40,41,74,Bed of Roses (1996),Drama|Romance,108121,1
41,42,76,Screamers (1995),Action|Sci-Fi|Thriller,116700,1
42,43,79,"Juror, The (1996)",Drama|Thriller,133381,9
43,44,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,175355,2
44,45,87,Dunston Checks In (1996),Children|Comedy,156695,3
45,46,88,Black Sheep (1996),Comedy,86168,16
46,47,89,Nick of Time (1995),Action|Thriller,115518,21
47,48,92,Mary Reilly (1996),Drama|Horror|Thriller,125540,2
48,49,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,169786,2
49,50,102,Mr. Wrong (1996),Comedy,100183,1
50,51,104,Happy Gilmore (1996),Comedy,150451,146
51,52,105,"Bridges of Madison County, The (1995)",Drama|Romance,147610,10
52,53,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,125687,5
53,54,110,Braveheart (1995),Action|Drama|War,114932,102
54,55,111,Taxi Driver (1976),Crime|Drama|Thriller,152521,16
55,56,135,Down Periscope (1996),Comedy,167763,7
56,57,140,Up Close and Personal (1996),Drama|Romance,98879,2
57,58,141,"Birdcage, The (1996)",Comedy,115516,7
58,59,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,101691,47
59,61,147,"Basketball Diaries, The (1995)",Drama,141107,4
60,62,150,Apollo 13 (1995),Adventure|Drama|IMAX,129037,31
61,63,151,Rob Roy (1995),Action|Drama|Romance|War,139122,2
62,64,153,Batman Forever (1995),Action|Adventure|Comedy|Crime,86397,13
63,65,158,Casper (1995),Adventure|Children,91293,10
64,66,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,178933,2
65,67,161,Crimson Tide (1995),Drama|Thriller|War,136831,4
66,68,163,Desperado (1995),Action|Romance|Western,199642,12
67,69,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,170268,2
68,70,168,First Knight (1995),Action|Drama|Romance,186014,2
69,71,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,202835,1
70,72,173,Judge Dredd (1995),Action|Crime|Sci-Fi,167343,4
71,73,174,Jury Duty (1995),Comedy,171508,2
72,74,175,Kids (1995),Drama,144433,5
73,75,177,Lord of Illusions (1995),Horror,202256,5
74,76,180,Mallrats (1995),Comedy|Romance,128454,4
75,77,185,"Net, The (1995)",Action|Crime|Thriller,86449,7
76,78,186,Nine Months (1995),Comedy|Romance,181617,1
77,79,188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,82001,2
78,80,193,Showgirls (1995),Drama,126922,6
79,81,195,Something to Talk About (1995),Comedy|Drama|Romance,129935,2
80,82,196,Species (1995),Horror|Sci-Fi,179596,5
81,83,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,117898,1
82,84,202,Total Eclipse (1995),Drama|Romance,174038,1
83,85,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,120673,1
84,86,207,"Walk in the Clouds, A (1995)",Drama|Romance,131832,6
85,87,208,Waterworld (1995),Action|Adventure|Sci-Fi,193821,17
86,88,215,Before Sunrise (1995),Drama|Romance,161326,4
87,89,216,Billy Madison (1995),Comedy,181301,108
88,90,217,"Babysitter, The (1995)",Drama|Thriller,85303,2
89,91,218,Boys on the Side (1995),Comedy|Drama,193514,4
90,92,219,"Cure, The (1995)",Drama,122863,1
91,93,223,Clerks (1994),Comedy,77788,20
92,94,227,Drop Zone (1994),Action|Thriller,179631,2
93,95,235,Ed Wood (1994),Comedy|Drama,78076,1
94,96,236,French Kiss (1995),Action|Comedy|Romance,112203,8
95,97,237,Forget Paris (1995),Comedy|Romance,117188,2
96,98,239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,174626,6
97,99,243,Gordy (1995),Children|Comedy|Fantasy,195867,1
98,100,246,Hoop Dreams (1994),Documentary,163975,6
99,101,249,Immortal Beloved (1994),Drama|Romance,126740,5
100,102,251,"Hunted, The (1995)",Action,147404,1
101,103,257,Just Cause (1995),Mystery|Thriller,133065,1
102,104,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,151769,1
103,105,261,Little Women (1994),Drama,156063,9
104,106,262,"Little Princess, A (1995)",Children|Drama,114157,4
105,107,266,Legends of the Fall (1994),Drama|Romance|War|Western,160457,12
106,108,267,Major Payne (1995),Comedy,154352,1
107,109,272,"Madness of King George, The (1994)",Comedy|Drama,171676,1
108,110,274,Man of the House (1995),Comedy,180007,1
109,111,275,Mixed Nuts (1994),Comedy,87891,1
