index,movieName,databaseId,movieId
0,Crac (1981),98306,125936
1,"Here Comes the Bride, My Mom! (2010)",131077,189289
2,The Bandit (1996),98332,-1
3,The Mosquito Coast (1986),163869,2734
4,The Shadow (1994),163899,533
5,Mission: Impossible – Ghost Protocol (2011),196668,-1
6,Phase IV (1974),98370,26299
7,Dance Me to My Song (1998),98373,135921
8,Saving Mr. Banks (2013),131147,107141
9,The Accountant (2016),98383,162606
10,Stitches (2011),131154,-1
11,The Cabinet of Dr. Caligari (1920),98387,-1
12,One Flew Over the Cuckoo's Nest (1975),196692,1193
13,Hotel Transylvania 2 (2015),98389,142997
14,Son of Saul (2015),163936,142492
15,Fido (2006),98401,53468
16,The Others (2001),131178,4720
17,The Jewel of the Nile (1985),136552,2405
18,Indiana Jones and the Temple of Doom (1984),98433,2115
19,Captain America (1990),163973,26764
20,Hoop Dreams (1994),163975,246
21,The Lords of Salem (2012),131209,102802
22,VIPs (2010),98443,-1
23,Marvel Super Heroes 4D,196756,-1
24,Earth to Echo (2014),196757,113071
25,My Life in Ruins (2009),131226,70932
26,Flight (2009),131232,-1
27,Cabin Fever (2016),164001,152515
28,Sisters (2015),131244,149354
29,The Lodger (2009),98479,89139
30,The Great Race (1965),164027,1083
31,Detective School Dropouts (1986),164033,-1
32,Runaway Jury (2003),131272,6879
33,The Purge: Anarchy (2014),196809,112818
34,The Right Kind of Wrong (2013),164046,105855
35,Existenz (1999),98513,-1
36,Lovers Like Us (1975),196824,-1
37,Paper Planes (2015),164057,-1
38,40 Days and Nights (2012),131291,178581
39,Let's Scare Jessica to Death (1971),196829,26248
40,Dumb and Dumber,98527,-1
41,Pumpkinhead (1988),196833,3840
42,The Dark Night (1989),164071,-1
43,Bride and Prejudice (2004),196846,31694
44,Train of Life (1998),131311,-1
45,The Maze Runner (2014),131313,114180
46,Dark Side of the Moon,131314,150778
47,Arthur Christmas (2011),131328,91414
48,Jurassic Shark (2012),196869,-1
49,Alexander (2004),164114,8977
50,Theeb (2014),98587,141050
51,Kill Bill: Volume 2 (2004),164128,-1
52,High Tension (2003),196900,-1
53,Hellraiser (1987),131382,3917
54,Risky Business (1939),98623,-1
55,A Troll in Central Park,131402,5164
56,Battle of the Sexes (2017),98637,177237
57,Pale Rider (1985),196944,2401
58,A Perfect Getaway (2009),131411,70208
59,Men of Honor (2000),196951,3980
60,Personal Shopper (2016),196957,169764
61,Harry Potter and the Deathly Hallows – Part 1 (2010),98659,-1
62,Live and Let Die (1973),164206,2991
63,The English Patient (1996),98672,1183
64,Nanny McPhee and the Big Bang (2010),124401,-1
65,Matilda (1996),98683,837
66,Old Boys: The Way of the Dragon,98687,-1
