,Unnamed: 0,movieId,rating_mean,genres,databaseId,title
0,0,1,3.89,Adventure|Animation|Children|Comedy|Fantasy,80067,Toy Story (1995)
1,68462,2,3.25,Adventure|Children|Fantasy,106233,Jumanji (1995)
2,95605,3,3.17,Comedy|Romance,165453,Grumpier Old Men (1995)
3,111187,4,2.87,Comedy|Drama|Romance,114048,Waiting to Exhale (1995)
4,114176,5,3.08,Comedy,90583,Father of the Bride Part II (1995)
5,129649,6,3.84,Action|Crime|Thriller,176314,Heat (1995)
6,158332,7,3.37,Comedy|Romance,139199,Sabrina (1995)
7,173631,8,3.12,Adventure|Children,200075,Tom and Huck (1995)
8,175170,10,3.43,Action|Adventure|Thriller,202936,GoldenEye (1995)
9,208252,11,3.66,Comedy|Drama|Romance,198226,The American President(1995)
10,227917,12,2.67,Comedy|Horror,168434,Dracula: Dead and Loving It (1995)
11,232441,13,3.34,Adventure|Animation|Children,180423,Balto (1995)
12,234393,15,2.73,Action|Adventure|Romance,134328,Cutthroat Island (1995)
13,237547,16,3.8,Crime|Drama,150957,Casino (1995)
14,258711,17,3.95,Drama|Romance,140537,Sense and Sensibility (1995)
15,283262,18,3.41,Comedy,105952,Four Rooms (1995)
16,289516,19,2.64,Comedy,187566,Ace Ventura: When Nature Calls (1995)
17,314424,20,2.89,Action|Comedy|Crime|Drama|Thriller,100498,Money Train (1995)
18,319082,21,3.57,Comedy|Crime|Thriller,163190,Get Shorty (1995)
19,344778,22,3.3,Crime|Drama|Horror|Mystery|Thriller,193523,Copycat (1995)
20,355913,23,3.16,Action|Crime|Thriller,172599,Assassins (1995)
21,360784,24,3.18,Drama|Sci-Fi,151866,Powder (1995)
22,369975,25,3.67,Drama|Romance,129679,Leaving Las Vegas (1995)
23,394814,27,3.43,Children|Drama,126211,Now and Then (1995)
24,396690,31,3.24,Drama,120592,Dangerous Minds (1995)
25,408491,34,3.61,Children|Drama,185733,Babe (1995)
26,444392,36,3.93,Crime|Drama,179770,Dead Man Walking (1995)
27,468346,39,3.42,Comedy|Romance,143623,Clueless (1995)
28,497765,42,3.05,Action|Crime|Drama,157259,Dead Presidents (1995)
29,500385,44,2.63,Action|Adventure|Fantasy,173510,Mortal Kombat (1995)
30,513482,45,3.37,Comedy|Drama|Thriller,187373,To Die For (1995)
31,523199,48,2.96,Animation|Children|Drama|Musical|Romance,87115,Pocahontas (1995)
32,539557,50,4.29,Crime|Mystery|Thriller,141578,The Usual Suspects(1995)
33,601734,54,2.85,Children|Comedy,139584,The Big Green(1995)
34,602798,60,3.07,Adventure|Children|Fantasy,149885,The Indian in the Cupboard(1995)
35,610398,62,3.75,Drama,83757,Mr. Holland's Opus (1995)
36,636497,65,2.4,Comedy,118637,Bio-Dome (1996)
37,642332,69,3.55,Comedy,149514,Friday (1995)
38,652766,72,3.48,Comedy|Drama,111831,Kicking and Screaming (1995)
39,654100,74,3.3,Drama|Romance,108121,Bed of Roses (1996)
40,657930,76,3.02,Action|Sci-Fi|Thriller,116700,Screamers (1995)
41,661656,79,3.16,Drama|Thriller,133381,The Juror(1996)
42,667996,81,3.27,Crime|Drama|Romance,175355,Things to Do in Denver When You're Dead (1995)
43,671445,87,2.41,Children|Comedy,156695,Dunston Checks In (1996)
44,672557,88,3.13,Comedy,86168,Black Sheep (1996)
45,678464,89,3.13,Action|Thriller,115518,Nick of Time (1995)
46,681953,92,2.85,Drama|Horror|Thriller,125540,Mary Reilly (1996)
47,684414,101,3.77,Adventure|Comedy|Crime|Romance,169786,Bottle Rocket (1996)
48,689367,102,2.43,Comedy,100183,Mr. Wrong (1996)
49,691508,104,3.39,Comedy,150451,Happy Gilmore (1996)
50,713755,105,3.33,Drama|Romance,147610,The Bridges of Madison County(1995)
51,725039,107,3.2,Adventure|Children|Comedy|Musical,125687,Muppet Treasure Island (1996)
52,733161,110,4.01,Action|Drama|War,114932,Braveheart (1995)
53,801959,111,4.09,Crime|Drama|Thriller,152521,Taxi Driver (1976)
54,834841,135,3.0,Comedy,167763,Down Periscope (1996)
55,842578,140,3.31,Drama|Romance,98879,Up Close and Personal (1996)
56,848227,141,3.52,Comedy,115516,The Birdcage(1996)
57,874266,145,3.28,Action|Comedy|Crime|Drama|Thriller,101691,Bad Boys (1995)
58,904906,147,3.6,Drama,141107,The Basketball Diaries(1995)
59,909993,150,3.88,Adventure|Drama|IMAX,129037,Apollo 13 (1995)
60,968653,151,3.52,Action|Drama|Romance|War,139122,Rob Roy (1995)
61,982252,153,2.9,Action|Adventure|Comedy|Crime,86397,Batman Forever (1995)
62,1020893,158,2.89,Adventure|Children,91293,Casper (1995)
63,1036768,160,2.61,Action|Adventure|Mystery|Sci-Fi,178933,Congo (1995)
64,1052762,161,3.75,Drama|Thriller|War,136831,Crimson Tide (1995)
65,1079077,163,3.43,Action|Romance|Western,199642,Desperado (1995)
66,1096243,164,3.46,Crime|Film-Noir|Mystery|Thriller,170268,Devil in a Blue Dress (1995)
67,1100851,168,3.06,Action|Drama|Romance,186014,First Knight (1995)
68,1114596,169,2.3,Adventure|Children|Drama,202835,Free Willy 2: The Adventure Home (1995)
69,1118658,173,2.54,Action|Crime|Sci-Fi,167343,Judge Dredd (1995)
70,1135789,174,2.45,Comedy,171508,Jury Duty (1995)
71,1138015,175,3.52,Drama,144433,Kids (1995)
72,1143798,177,2.89,Horror,202256,Lord of Illusions (1995)
73,1146208,180,3.57,Comedy|Romance,128454,Mallrats (1995)
74,1155934,185,3.12,Action|Crime|Thriller,86449,The Net(1995)
75,1182735,186,2.87,Comedy|Romance,181617,Nine Months (1995)
76,1195795,188,3.33,Fantasy|Horror|Mystery,82001,The Prophecy(1995)
77,1198502,193,2.25,Drama,126922,Showgirls (1995)
78,1207439,195,3.09,Comedy|Drama|Romance,129935,Something to Talk About (1995)
79,1210825,196,2.83,Horror|Sci-Fi,179596,Species (1995)
80,1226185,198,3.42,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,117898,Strange Days (1995)
81,1236104,202,3.06,Drama|Romance,174038,Total Eclipse (1995)
82,1236581,203,3.16,Comedy,120673,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
83,1242603,207,3.37,Drama|Romance,131832,"Walk in the Clouds, A (1995)"
84,1248620,208,2.86,Action|Adventure|Sci-Fi,193821,Waterworld (1995)
85,1279929,215,3.9,Drama|Romance,161326,Before Sunrise (1995)
86,1287153,216,3.25,Comedy,181301,Billy Madison (1995)
87,1297815,217,2.74,Drama|Thriller,85303,The Babysitter(1995)
88,1298886,218,3.28,Comedy|Drama,193514,Boys on the Side (1995)
89,1303317,219,3.61,Drama,122863,The Cure(1995)
90,1304011,223,3.85,Comedy,77788,Clerks (1994)
91,1330779,227,3.07,Action|Thriller,179631,Drop Zone (1994)
92,1335630,235,3.66,Comedy|Drama,78076,Ed Wood (1994)
93,1353368,236,3.31,Action|Comedy|Romance,112203,French Kiss (1995)
94,1367016,237,3.22,Comedy|Romance,117188,Forget Paris (1995)
95,1373782,239,3.1,Animation|Children|Comedy|Romance,174626,"Goofy Movie, A (1995)"
96,1377796,243,2.51,Children|Comedy|Fantasy,195867,Gordy (1995)
97,1378278,246,4.0,Documentary,163975,Hoop Dreams (1994)
98,1389762,249,3.67,Drama|Romance,126740,Immortal Beloved (1994)
99,1394993,251,3.04,Action,147404,The Hunted(1995)
100,1395399,257,3.41,Mystery|Thriller,133065,Just Cause (1995)
101,1399409,258,2.63,Adventure|Children|Comedy|Fantasy|Romance,151769,"Kid in King Arthur's Court, A (1995)"
102,1401238,261,3.6,Drama,156063,Little Women (1994)
103,1413295,262,3.76,Children|Drama,114157,"Little Princess, A (1995)"
104,1418320,266,3.5,Drama|Romance|War|Western,160457,Legends of the Fall (1994)
105,1436478,267,2.91,Comedy,154352,Major Payne (1995)
106,1441092,272,3.74,Comedy|Drama,171676,The Madness of King George(1994)
107,1449496,274,2.84,Comedy,180007,Man of the House (1995)
108,1450784,275,2.73,Comedy,87891,Mixed Nuts (1994)
109,1452414,280,3.72,Drama|Thriller,78479,Murder in the First (1995)
110,1457753,282,3.39,Drama,172042,Nell (1994)
111,1470176,283,3.09,Crime|Drama,82467,New Jersey Drive (1995)
112,1470425,288,3.25,Action|Crime|Thriller,117907,Natural Born Killers (1994)
113,1496833,289,3.36,Comedy|Romance,98930,Only You (1994)
114,1500226,292,3.42,Action|Drama|Sci-Fi|Thriller,204109,Outbreak (1995)
115,1529209,296,4.17,Comedy|Crime|Drama|Thriller,91332,Pulp Fiction (1994)
116,1621607,303,3.04,Action|Thriller|Western,173935,The Quick and the Dead(1995)
117,1629500,313,3.07,Animation|Children,186519,The Swan Princess(1994)
118,1630971,314,3.85,Children|Drama|Fantasy|Mystery,113721,The Secret of Roan Inish(1994)
119,1635285,315,2.9,Action|Drama|Thriller,165778,The Specialist(1994)
120,1647790,316,3.37,Action|Adventure|Sci-Fi,193034,Stargate (1994)
121,1684782,317,3.13,Comedy|Drama|Fantasy,180808,The Santa Clause(1994)
122,1702725,318,4.42,Crime|Drama,181299,The Shawshank Redemption (1994)
123,1800715,319,3.75,Comedy|Drama|Thriller,116352,Shallow Grave (1994)
124,1808906,327,2.81,Action|Comedy|Sci-Fi,165067,Tank Girl (1995)
125,1817371,330,2.81,Action|Crime|Horror,132385,Tales from the Hood (1995)
126,1818978,333,3.36,Comedy,170060,Tommy Boy (1995)
127,1832009,336,2.86,Drama|War,139321,The Walking Dead(1995)
128,1832321,337,3.75,Drama,82476,What's Eating Gilbert Grape (1993)
129,1851953,339,3.51,Comedy|Romance,135090,While You Were Sleeping (1995)
130,1877908,342,3.48,Comedy,168050,Muriel's Wedding (1994)
131,1891393,343,2.67,Children,88451,The Baby-Sitters Club(1995)
