,databaseId,nbMentions,title
0,75796,1,Headhunter(2009)
1,75815,6,Angels in the Outfield(1994)
2,75822,1,Eddie and the Cruisers(1983)
3,75828,5,Ninja Assassin(2009)
4,75867,3,Orgazmo(1997)
5,75881,26,Toy Story 2(1999)
6,75903,2,A Star Is Born(1954)
7,75918,54,Pretty in Pink(1986)
8,75962,1,Back to Hannibal: The Return of Tom Sawyer and Huckleberry Finn
9,75968,3,An American Werewolf in Paris(1997)
10,75981,1,The Golden Temple(2012)
11,75984,9,Fool's Gold(2008)
12,76012,174,The Exorcist(1973)
13,76019,4,The War Bride(2001)
14,76023,1,Flick(2008)
15,76036,1,National Security(2012)
16,76042,28,The Vow(2012)
17,76067,3,Winter's Bone(2010)
18,76069,1,Love Station(2016)
19,76071,1,Fight Club – Members Only(2006)
20,76102,1,IMurders(2008)
21,76111,1,Pocahontas II: Journey to a New World(1998)
22,76113,1,Just One of the Guys(1985)
23,76130,1,Prince(1969)
24,76137,1,Love Liza(2002)
25,76143,2,Anomalisa(2015)
26,76145,1,The Great Gatsby(1926)
27,76160,30,Million Dollar Baby(2004)
28,76170,2,Insidious: Chapter 3(2015)
29,76171,1,The Mummy 
30,76177,10,Ride Along 2(2016)
31,76187,10,The Hills Have Eyes(2006)
32,76195,1,Dirty Work(1998)
33,76198,2,North Dallas Forty(1979)
34,76279,4,Death at a Funeral(2007)
35,76284,2,The Cowboys(1972)
36,76325,1,My Scientology Movie(2015)
37,76336,2,Blackhat(2015)
38,76339,2,Hereafter(2010)
39,76356,25,The Parent Trap(1998)
40,76365,2,Anna and the King(1999)
41,76391,1,Beware! The Blob(1972)
42,76481,10,The Exorcist 
43,76483,32,Brave(2012)
44,76488,1,The Royal Scandal
45,76508,1,Chloe(2009)
46,76512,1,Mississippi Damned(2009)
47,76519,32,Cloverfield(2008)
48,76524,8,Okja
49,76530,6,Killers(2010)
50,76620,1,The Shaggy Dog(1959)
51,76627,2,No Good Deed(2014)
52,76636,2,Double Impact(1991)
53,76639,1,First Kill(2017)
54,76658,1,Torque(2004)
55,76660,3,Batman: Revenge(2003)
56,76706,35,The Incredible Hulk(2008)
57,76724,1,Red Lines(2014)
58,76746,1,All the Pretty Horses(2000)
59,76757,2,Pinocchio(1940)
60,76772,7,Ouija(2015)
61,76781,6,White Men Can't Jump(1992)
62,76802,5,Contagion(2011)
63,76825,1,Death of a Ghost Hunter(2007)
64,76829,9,The Sweetest Thing(2002)
65,76845,2,Good Burger
66,76847,1,Police Story 2(2007)
67,76849,2,Veronica Mars(2014)
68,76861,1,Project Almanac(2015)
69,76887,1,One Piece Film: Strong World(2009)
70,76935,2,First Sunday(2008)
71,76940,51,Harry Potter and the Goblet of Fire(2005)
72,77043,2,Uptown Saturday Night(1974)
73,77045,1,Christmas in Love(2004)
74,77066,45,Identity(2003)
75,77115,31,Jack Reacher(2012)
76,77128,8,Insidious 
77,77136,3,Not Fade Away(2012)
78,77140,2,The Living Daylights(1987)
79,77141,10,The Lovely Bones(2009)
80,77154,1,Flypaper(2011)
81,77161,164,A Nightmare on Elm Street(1984)
82,77176,1,Straight to Hell(1987)
83,77190,3,Lethal Weapon 4(1998)
84,77195,8,Bee Movie(2007)
85,77216,1,Beethoven's 2nd(1993)
86,77253,2,They Look Like People(2015)
87,77267,1,Fighter in the Wind(2004)
88,77293,184,A Wrinkle in Time 
89,77306,4,Oklahoma(1979)
90,77330,1,Cleopatra(1970)
91,77352,1,Harold and Maude(1971)
92,77358,4,Black Beauty(1994)
93,77363,4,Encino Man(1992)
94,77376,45,Full Metal Jacket(1987)
95,77384,1,American Pie Presents: Band Camp
96,77388,3,Shade(2003)
97,77415,1,How the West Was Won(1962)
98,77455,30,Citizen Kane(1941)
99,77478,2,Yes(2004)
100,77485,1,Contract(2008)
101,77521,1,Triangle(2009)
102,77542,10,Contact(1997)
103,77552,1,"We, the Women(1953)"
104,77576,1,The Librarians(2001)
105,77597,17,Along Came Polly
106,77609,5,17 Again(2009)
107,77610,2,Sky High(2003)
108,77627,3,Abraham Lincoln: Vampire Hunter(2012)
109,77628,10,Leprechaun(1993)
110,77636,1,Fred(2014)
111,77651,3,Peter Pan(2003)
112,77666,8,The World's End(2013)
113,77670,6,Star Trek Into Darkness(2013)
114,77684,25,Indiana Jones and the Last Crusade(1989)
115,77693,2,Wolf Creek(2005)
116,77696,1,The Heist(2008)
117,77697,25,White House Down(2013)
118,77707,73,WALL-E(2008)
119,77737,2,The Humanoid(1979)
120,77747,2,National Treasure 
121,77785,3,Ring 2(1999)
122,77788,20,Clerks(1994)
123,77793,4,Prom Night(1980)
124,77798,9,A Perfect Murder(1998)
125,77806,3,Stuck on You(2003)
126,77818,4,Live Free or Die(2006)
127,77866,1,In Good Company(2004)
128,77867,10,The Ring(2017)
129,77868,3,The Expendables 
130,77888,2,Four Sisters and a Wedding(2013)
131,77894,1,Cars 3(2009)
132,77898,2,Spy Game(2001)
